,site_number,address
217,02099500,"DEEP RIVER NEAR RANDLEMAN, NC"
218,02100500,"DEEP RIVER AT RAMSEUR, NC"
219,0210106600,"DEEP RIVER NEAR GLENDON, NC"
220,0210108450,"SUCK CR TRIB NR ZION GROVE, NC"
221,0210166029,"ROCKY R AT SR1300 NR CRUTCHFIELD CROSSROADS, NC"
222,02101726,"ROCKY R AT US 64 NEAR SILER CITY, NC"
223,02101800,"TICK CREEK NEAR MOUNT VERNON SPRINGS, NC"
224,02102000,"DEEP RIVER AT MONCURE, NC"
225,02102094,CAPE FEAR PWR PLT DISCHARGE CANAL NR BRICKHAVEN NC
226,02102178,"CAPE FEAR R AT BUCKHORN DAM NR CORINTH, NC"
227,02102192,"BUCKHORN CREEK NR CORINTH, NC"
228,02102500,"CAPE FEAR RIVER AT LILLINGTON, NC"
229,02102897,"LOWER LITTLE RIVER AT SR2023 NEAR LOBELIA, NC"
230,02102908,"FLAT CREEK NEAR INVERNESS, NC"
231,02103000,"LITTLE RIVER AT MANCHESTER, NC"
232,0210382000,"LITTLE CROSS CR AB BONNIE DOONE LAKE NR SHAWS, NC"
233,0210382025,"BONNIE DOONE LAKE AT DAM NR BONNIE DOOONE, NC"
234,0210382026,"LTL CROSS CR BL BONNIE DOONE LAKE DAM NR SHAWS, NC"
235,0210382035,"LTL CROSS CR BL KORNBOW LAKE DAM NR SHAWS, NC"
236,0210382050,"LTL CROSS CR BL MINTZ POND NR BONNIE DOONE, NC"
237,0210382068,"LTL CROSS CR TRIB BL DAM NR BONNIE DOONE, NC"
238,0210382103,"LTL CROSS CR BL GLENVLE LK DAM AT FAYETTEVILLE, NC"
239,02104000,"CAPE FEAR RIVER AT FAYETTEVILLE, NC"
240,02104220,"ROCKFISH CREEK AT RAEFORD, NC"
241,0210438680,"BUCKHEAD CREEK AT SKIBO, NC"
242,02104387,"BUCKHEAD CREEK NEAR OWENS, NC"
243,02104390,"LITTLE ROCKFISH CREEK AT HOPE MILLS, NC"
244,02105500,"CAPE FEAR R AT WILM O HUSKE LOCK NR TARHEEL, NC"
245,02105544,"CAPE FEAR RIVER AT LOCK 2 NEAR ELIZABETHTOWN, NC"
246,02105769,"CAPE FEAR R AT LOCK #1 NR KELLY, NC"
247,02105900,"HOOD CREEK NEAR LELAND, NC"
248,02106500,"BLACK RIVER NEAR TOMAHAWK, NC"
249,02107544,"BLACK RIVER NEAR CURRIE, NC"
250,0210782005,"NAHUNGA CREEK AT SR1301 NEAR WARSAW, NC"
251,0210783230,"HERRINGS MARSH RUN NEAR SUMMERLINS CROSSROADS, NC"
252,0210783240,"HERRINGS MARSH RUN TRIB NR SUMMERLINS XROADS, NC"
253,0210783276,"HERRINGS MARSH RUN BELOW SR1306 AT RED HILL, NC"
254,0210789100,"GROVE CREEK AT KENANSVILLE, NC"
255,0210789120,"GROVE CRK NR KENANSVILLE, NC"
256,0210797940,"LIMESTONE CREEK AT NC 24 NEAR HADLEY, NC"
257,02108000,"NORTHEAST CAPE FEAR RIVER NEAR CHINQUAPIN, NC"
258,02108566,"NORTHEAST CAPE FEAR R NR BURGAW, NC"
259,02108619,"NORTHEAST CAPE FEAR R AT CASTLE HAYNE, NC"
260,02109500,"WACCAMAW RIVER AT FREELAND, NC"
261,02111000,"YADKIN RIVER AT PATTERSON, NC"
262,02111180,"ELK CREEK AT ELKVILLE, NC"
263,02111391,"W. KERR SCOTT RESERVOIR AT DAM NR WILKESBORO, NC"
264,0211139110,"YADKIN RIVER BL W KERR SCOTT DAM NEAR BUCK, NC"
265,02111500,"REDDIES RIVER AT NORTH WILKESBORO, NC"
266,02112000,"YADKIN RIVER AT WILKESBORO, NC"
267,02112120,"ROARING RIVER NEAR ROARING RIVER, NC"
268,02112250,"YADKIN RIVER AT ELKIN, NC"
269,02112360,"MITCHELL RIVER NEAR STATE ROAD, NC"
270,02113000,"FISHER RIVER NEAR COPELAND, NC"
271,0211351575,"HOGAN CREEK AT SR 2038 NEAR SILOAM, NC"
272,0211371675,"PAULS CREEK ABOVE SR 1625 NEAR PINE RIDGE, NC"
273,02113850,"ARARAT RIVER AT ARARAT, NC"
274,0211397263,"BULL CREEK AT ASH HILL, NC"
275,02114450,"LITTLE YADKIN RIVER AT DALTON, NC"
276,02115360,"YADKIN RIVER AT ENON, NC"
277,02115860,"MUDDY CREEK NEAR MUDDY CREEK, NC"
278,02115900,"SOUTH FORK MUDDY CREEK NR CLEMMONS, NC"
279,02116500,"YADKIN RIVER AT YADKIN COLLEGE, NC"
280,02118000,"SOUTH YADKIN RIVER NEAR MOCKSVILLE, NC"
281,02118500,"HUNTING CREEK NEAR HARMONY, NC"
282,02120780,"SECOND CREEK NEAR BARBER, NC"
283,02121500,"ABBOTTS CREEK AT LEXINGTON, NC"
284,02123500,"UWHARRIE RIVER NEAR ELDORADO, NC"
285,0212378405,"PEE DEE R AT HWY731 BL LK TILLERY NR NORWOOD, NC"
286,0212393300,"W. BR ROCKY R B MTH OF S PRONG R NR CORNELIUS, NC"
287,02124080,"CLARKE CREEK NEAR HARRISBURG, NC"
288,0212414900,"MALLARD CR BL STONY CR NR HARRISBURG, NC"
289,0212419274,"CODDLE CR AT SR 1612 NEAR DAVIDSON, NC"
290,02124269,"BACK CR AT SR1173 NEAR HARRISBURG, NC"
291,0212427947,"REEDY CREEK AT SR 2803 NR CHARLOTTE, NC"
292,0212430293,"REEDY CREEK BELOW I-485 NR PINE RIDGE, NC"
293,0212430653,"MCKEE CREEK AT SR2804 NR WILGROVE, NC"
294,0212433550,"ROCKY R AB IRISH BUFFALO CR NR ROCKY RIVER, NC"
295,0212466000,"CLEAR CREEK AT SR3181 NR MINT HILL, NC"
296,0212467451,"GOOSE CR AT SR1524 NEAR INDIAN TRAIL, NC"
297,0212467595,"GOOSE CREEK AT SR1525 NR INDIAN TRAIL, NC"
298,02124692,"GOOSE CR AT FAIRVIEW, NC"
299,02124742,"ROCKY RIVER NR STANFIELD, NC"
300,02125000,"BIG BEAR CR NR RICHFIELD, NC"
301,02126000,"ROCKY RIVER NEAR NORWOOD, NC"
302,02126375,"PEE DEE R AT PEE DEE REFUGE NR ANSONVILLE, NC"
303,02127318,"BROWN CREEK NR PINKSTON, NC"
304,02127500,"PEE DEE R NR ANSONVILLE, NC"
